feature_name,tier,stage,level,entity,entity_id,entity_class,measure,measure_family,aggregation,window,window_type,filter,transform,availability,leakage_risk,min_support_n,adversarial_halflife,hypothesis,status,drop_reason,iv,psi_12m,coverage_pct,shap_rank
addrship_x_pan__d_sender__dcnt__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Distinct senders (fan-in),velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__err_lost_stln__rate__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,ERR rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,50,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__err_rate__rate__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,ERR rate (issuer decline),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__fail_then_ok__cnt__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Failed-auth-then-success cnt,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__fail_then_ok__sum__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Failed-auth-then-success cnt,behavior,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__interarrival__cnt__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Inter-arrival seconds,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__interarrival__mean__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Inter-arrival seconds,behavior,mean,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__block_rate__rate__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Model block rate (policy),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt_repeat__rate__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Repeat-identical-amount rate,behavior,rate (num/denom),1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt_escalate__cnt__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Small-then-large sequence cnt,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt_escalate__sum__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Small-then-large sequence cnt,behavior,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__tc40_rate__rate__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,TC40/SAFE alert rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt__cnt__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction amount,velocity,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt__cnt__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction amount,velocity,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt__sum__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction amount,velocity,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt__sum__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction amount,velocity,sum,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt__mean__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction amount,velocity,mean,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__amt__mean__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction amount,velocity,mean,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__txn_cnt__cnt__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction count,velocity,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__txn_cnt__cnt__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction count,velocity,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__txn_cnt__sum__w1h,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction count,velocity,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,drop address reuse across cards,candidate,,,,,
addrship_x_pan__txn_cnt__sum__w30d,1,A_base,L0,Card token / PAN hash x Normalized ship/payout addr,addrship_x_pan,composite,Transaction count,velocity,sum,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,drop address reuse across cards,candidate,,,,,
cust_x_device__cb_fraud_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,CB rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__cb_nonfr_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,CB rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__champ_score__cnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Champion model score,score,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__champ_score__mean__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Champion model score,score,mean,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__cb_amt__cnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Chargeback dollars,outcome,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__cb_amt__sum__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Chargeback dollars,outcome,sum,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__cb_amt__mean__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Chargeback dollars,outcome,mean,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__cb_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Chargeback rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__den_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,DEN rate (downstream rules),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_bin8__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct BINs tried,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_bin8__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct BINs tried,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_pan__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct cards,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_pan__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct cards,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_cust__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct customers,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_cust__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct customers,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_device__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct devices,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_device__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct devices,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_email__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct emails,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_email__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct emails,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_receiver__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct receivers (fan-out),velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_receiver__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct receivers (fan-out),velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_sender__dcnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct senders (fan-in),velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__d_sender__dcnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Distinct senders (fan-in),velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__err_lost_stln__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,ERR rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,50,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__err_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,ERR rate (issuer decline),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__fail_then_ok__cnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Failed-auth-then-success cnt,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__fail_then_ok__sum__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Failed-auth-then-success cnt,behavior,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__interarrival__cnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Inter-arrival seconds,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__interarrival__mean__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Inter-arrival seconds,behavior,mean,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__block_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Model block rate (policy),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt_repeat__rate__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Repeat-identical-amount rate,behavior,rate (num/denom),1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt_escalate__cnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Small-then-large sequence cnt,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt_escalate__sum__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Small-then-large sequence cnt,behavior,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__tc40_rate__rate__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,TC40/SAFE alert rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt__cnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction amount,velocity,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt__cnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction amount,velocity,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt__sum__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction amount,velocity,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt__sum__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction amount,velocity,sum,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt__mean__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction amount,velocity,mean,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__amt__mean__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction amount,velocity,mean,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__txn_cnt__cnt__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction count,velocity,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__txn_cnt__cnt__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction count,velocity,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__txn_cnt__sum__w1h,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction count,velocity,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,ATO — new device on established customer,candidate,,,,,
cust_x_device__txn_cnt__sum__w30d,1,A_base,L0,Customer ID x Device fingerprint ID,cust_x_device,composite,Transaction count,velocity,sum,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,ATO — new device on established customer,candidate,,,,,
device_x_corridor__cb_fraud_rate__rate__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,CB rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__cb_nonfr_rate__rate__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,CB rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__champ_score__cnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Champion model score,score,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__champ_score__mean__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Champion model score,score,mean,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__cb_amt__cnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Chargeback dollars,outcome,count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__cb_amt__sum__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Chargeback dollars,outcome,sum,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__cb_amt__mean__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Chargeback dollars,outcome,mean,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__cb_rate__rate__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Chargeback rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),HIGH - point-in-time on label_arrival_ts + out-of-fold encoding required,200,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__den_rate__rate__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,DEN rate (downstream rules),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_bin8__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct BINs tried,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_bin8__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct BINs tried,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_pan__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct cards,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_pan__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct cards,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_cust__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct customers,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_cust__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct customers,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_device__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct devices,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_device__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct devices,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_email__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct emails,velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_email__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct emails,velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_receiver__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct receivers (fan-out),velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_receiver__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct receivers (fan-out),velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_sender__dcnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct senders (fan-in),velocity,distinct count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__d_sender__dcnt__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Distinct senders (fan-in),velocity,distinct count,30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,30,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__err_lost_stln__rate__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,ERR rate,outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,50,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__err_rate__rate__w30d,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,ERR rate (issuer decline),outcome,rate (num/denom),30 days,time,unconditioned,raw value,streaming aggregate (sketch-backed),MED - encodes current policy; re-baseline on threshold change,50,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__fail_then_ok__cnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Failed-auth-then-success cnt,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__fail_then_ok__sum__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Failed-auth-then-success cnt,behavior,sum,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
device_x_corridor__interarrival__cnt__w1h,1,A_base,L0,Device fingerprint ID x Corridor (send x recv country),device_x_corridor,composite,Inter-arrival seconds,behavior,count,1 hour,time,unconditioned,raw value,streaming aggregate (sketch-backed),LOW,5,weeks-months,mule device servicing one corridor,candidate,,,,,
